Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Y,source_file
3.0,1.0,0.77,2.35,2.88,0,GdCoOAc_(OH2.5-3.5).csv
2.53,0.82,0.94,2.23,3.49,1,GdCoOAc_(OH2.5-3.5).csv
2.13,0.6,0.52,3.95,2.81,1,GdCoOAc_(OH2.5-3.5).csv
2.39,0.78,0.99,3.3,2.53,1,GdCoOAc_(OH2.5-3.5).csv
1.52,0.59,0.82,3.58,3.5,0,GdCoOAc_(OH2.5-3.5).csv
1.77,0.73,0.65,3.91,2.94,1,GdCoOAc_(OH2.5-3.5).csv
1.49,0.8,0.51,4.19,3.01,0,GdCoOAc_(OH2.5-3.5).csv
1.01,0.91,0.74,4.44,2.9,0,GdCoOAc_(OH2.5-3.5).csv
1.34,0.65,0.61,4.37,3.03,0,GdCoOAc_(OH2.5-3.5).csv
1.84,0.54,0.8,3.78,3.04,0,GdCoOAc_(OH2.5-3.5).csv
2.55,0.87,0.55,2.71,3.32,1,GdCoOAc_(OH2.5-3.5).csv
1.95,0.55,0.87,3.78,2.84,1,GdCoOAc_(OH2.5-3.5).csv
1.58,0.75,0.91,4.17,2.59,1,GdCoOAc_(OH2.5-3.5).csv
1.57,0.98,0.81,3.67,2.98,0,GdCoOAc_(OH2.5-3.5).csv
1.33,0.74,0.88,4.32,2.74,0,GdCoOAc_(OH2.5-3.5).csv
1.98,0.72,0.95,3.68,2.68,1,GdCoOAc_(OH2.5-3.5).csv
2.81,0.71,0.61,2.8,3.07,0,GdCoOAc_(OH2.5-3.5).csv
2.84,0.9,0.64,2.92,2.7,1,GdCoOAc_(OH2.5-3.5).csv
1.15,0.95,0.89,3.76,3.25,0,GdCoOAc_(OH2.5-3.5).csv
2.37,0.53,0.88,3.4,2.82,0,GdCoOAc_(OH2.5-3.5).csv
1.92,0.99,0.59,3.39,3.12,1,GdCoOAc_(OH2.5-3.5).csv
2.62,0.63,0.65,3.6,2.5,0,GdCoOAc_(OH2.5-3.5).csv
2.1,0.84,0.78,3.42,2.86,0,GdCoOAc_(OH2.5-3.5).csv
2.5,0.81,0.56,2.69,3.45,1,GdCoOAc_(OH2.5-3.5).csv
1.81,0.54,0.9,3.48,3.27,0,GdCoOAc_(OH2.5-3.5).csv
1.51,0.62,0.93,3.61,3.34,0,GdCoOAc_(OH2.5-3.5).csv
2.25,0.5,0.56,3.99,2.69,0,GdCoOAc_(OH2.5-3.5).csv
1.54,0.68,0.71,3.96,3.11,1,GdCoOAc_(OH2.5-3.5).csv
1.17,0.96,0.74,4.37,2.76,0,GdCoOAc_(OH2.5-3.5).csv
2.2,0.66,0.72,3.13,3.28,0,GdCoOAc_(OH2.5-3.5).csv
1.71,0.57,0.73,3.69,3.3,0,GdCoOAc_(OH2.5-3.5).csv
2.73,0.77,0.8,2.71,2.99,1,GdCoOAc_(OH2.5-3.5).csv
1.2,0.73,0.83,4.23,3.01,0,GdCoOAc_(OH2.5-3.5).csv
1.4,0.92,0.86,3.36,3.47,0,GdCoOAc_(OH2.5-3.5).csv
2.87,0.93,0.77,2.32,3.11,1,GdCoOAc_(OH2.5-3.5).csv
2.4,0.71,0.85,2.87,3.16,0,GdCoOAc_(OH2.5-3.5).csv
1.65,0.65,0.66,4.25,2.79,0,GdCoOAc_(OH2.5-3.5).csv
1.09,0.78,1.0,4.24,2.9,0,GdCoOAc_(OH2.5-3.5).csv
1.27,0.87,0.82,3.9,3.14,0,GdCoOAc_(OH2.5-3.5).csv
2.15,0.69,0.84,3.4,2.93,0,GdCoOAc_(OH2.5-3.5).csv
2.64,0.85,0.58,3.15,2.77,0,GdCoOAc_(OH2.5-3.5).csv
2.44,0.83,0.52,3.06,3.15,1,GdCoOAc_(OH2.5-3.5).csv
2.3,0.58,1.12,2.68,3.32,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.65,0.81,1.03,2.08,3.42,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.75,0.66,1.96,1.71,3.92,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.4,0.69,1.76,3.72,2.43,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.77,0.63,1.33,3.76,2.51,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.57,0.96,1.21,3.28,2.98,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.92,0.54,1.77,3.07,2.71,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.99,0.59,1.61,3.17,2.65,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.98,0.55,1.35,1.24,3.88,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.26,0.64,1.08,2.9,3.12,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.53,0.84,1.7,2.17,3.76,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.87,0.78,1.64,2.52,2.19,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.45,0.81,1.15,3.14,3.46,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.24,0.83,1.48,3.3,3.16,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
